Shark_ID,Copepod_number,acid_para_d15n,acid_para_d13c,acid_para_n_percent,acid_para_c_percent,acid_para_cn_ratio,ntreat_para_d15n,ntreat_para_d13c,ntreat_para_n_percent,ntreat_para_c_percent,ntreat_para_cn_ratio,host_d15n,host_d13c,host_n_percent,host_c_percent,host_cn_ratio,length_est,Sex,Latitude_DD,Longitude_DD,Year
2019_WS47,C1,9.9,-16.94,10.8,50.5,4.7,9.39,-16.97,9.1,42.75,4.7,9.4,-15.43,13.6,42.1,3.1,3.279793,F,-22.782554,113.649037,2019
2019_WS47,C2,9.29,-16.62,11.66,49.85,4.3,9.08,-16.2,8.98,39.82,4.4,9.4,-15.43,13.6,42.1,3.1,3.279793,F,-22.782554,113.649037,2019
2019_WS47,C3,9.33,-16.64,11.91,50.25,4.2,9.28,-16.38,9.59,39.75,4.1,9.4,-15.43,13.6,42.1,3.1,3.279793,F,-22.782554,113.649037,2019
2019_WS47,C4,9.34,-16.87,11.23,49.72,4.4,NA,NA,NA,NA,NA,9.4,-15.43,13.6,42.1,3.1,3.279793,F,-22.782554,113.649037,2019
2019_WS47,C5,9.23,-16.74,12.04,49.97,4.2,9.73,-16.41,9.61,40.11,4.2,9.4,-15.43,13.6,42.1,3.1,3.279793,F,-22.782554,113.649037,2019
2019_WS79,C1,NA,NA,NA,NA,NA,9.64,-16.27,8.48,36.88,4.4,9.15,-15.32,13.51,41.22,3.1,4.344953,M,-22.789544,113.613844,2019
2019_WS79,C2,9.32,-16.78,11.18,50.04,4.5,9.22,-16.6,8.65,37.74,4.4,9.15,-15.32,13.51,41.22,3.1,4.344953,M,-22.789544,113.613844,2019
2019_WS79,C3,9.58,-16.72,11.71,51.07,4.4,9.72,-16.32,8.88,38.53,4.3,9.15,-15.32,13.51,41.22,3.1,4.344953,M,-22.789544,113.613844,2019
2019_WS79,C4,NA,NA,NA,NA,NA,9.17,-16.97,8.91,45.04,5.1,9.15,-15.32,13.51,41.22,3.1,4.344953,M,-22.789544,113.613844,2019
2019_WS79,C5,9.13,-16.54,11.99,50.17,4.2,9.2,-16.49,9.43,40.2,4.3,9.15,-15.32,13.51,41.22,3.1,4.344953,M,-22.789544,113.613844,2019
