Shark_ID,host_d15n,host_d13c,host_n_percent,host_c_percent,host_cn_ratio,para_d15n,para_d13c,para_n_percent,para_c_percent,para_cn_ratio,length_est,Sex,Latitude_DD,Longitude_DD,para_acid_d13c,Year
2016_WS13,8.83,-14.6,14.77,41.66,2.8,9.83,-16.68,10.7,44.2,4.1,7,F,-22.691512,113.599038,-16.98,2016
2016_WS22,8.69,-14.72,15.22,43.14,2.8,10.29,-16.43,9.7,42.1,4.4,6.346687,F,-22.675271,113.544735,-16.73,2016
2016_WS23,9.23,-14.45,14.5,41.05,2.8,8.8,-16.7,11.2,43.9,3.9,5.769003,M,-22.672645,113.536082,-17,2016
2016_WS36,9.08,-14.92,14.07,40.51,2.9,9.64,-16.8,10.1,41.5,4.1,6,M,-22.628944,113.57747,-17.1,2016
2016_WS45,9.8,-14.55,14.98,42.57,2.8,10.63,-15.97,10.6,43.5,4.1,5.681147,M,-22.620677,113.612772,-16.27,2016
2016_WS5,9.38,-14.74,15.34,42.66,2.8,9.68,-16.69,10.3,42.7,4.2,6.937617,M,-22.699686,113.578221,-16.99,2016
2016_WS55,8,-15.1,11.71,35.27,3,9.14,-17.01,10,43.4,4.3,5.70354,F,-22.56987,113.632824,-17.31,2016
2016_WS59,9.02,-14.71,14.73,41.9,2.8,8.06,-16.8,7.7,39,5,6.308264,M,-22.577456,113.622803,-17.1,2016
2016_WS64,8.98,-15.07,14.63,42.32,2.9,9.95,-16.6,10,43.8,4.4,5.011311,F,-22.683268,113.602699,-16.9,2016
2016_WS74,9.23,-15.05,14.14,41.81,3,9.53,-17.06,10.4,44.1,4.2,5.725709,M,-22.663517,113.603583,-17.36,2016
2016_WS87,7.57,-15.58,13.79,40.3,2.9,8.66,-17.3,9.9,42.2,4.3,4.006185,F,-22.551025,113.627772,-17.6,2016
2016_WS95,9.45,-14.95,14.01,40.18,2.9,10.27,-16.41,10.9,42.4,3.9,6.438669,M,-22.741429,113.619993,-16.71,2016
2018_WS1,9.34,-14.84,14.41,41.54,2.9,8.72,-16.23,9.9,42.6,4.3,4,F,-22.76301667,113.6217167,-16.53,2018
2018_WS32,7.75,-15.19,14.92,42.19,2.8,9.44,-16.38,8.6,38.2,4.4,4.949699,F,-22.81048333,113.64555,-16.68,2018
2018_WS33,9.12,-15.29,13.56,40.62,3,9.54,-17.22,11.4,44.5,3.9,6,M,-22.81625,113.66345,-17.52,2018
2018_WS42,8.13,-15.63,14.8,41.97,2.8,8.81,-16.83,9.2,41.1,4.5,5.121783,M,-22.82285,113.6660833,-17.13,2018
